hour,y
0,27.814852752880924
1,21.362179487179485
2,15.846538461538461
3,12.521666666666667
4,10.987307692307693
5,10.036538461538461
6,9.297564102564102
7,8.67423076923077
8,8.178846153846154
9,7.72551282051282
10,7.3820512820512825
11,7.137948717948718
12,6.909487179487179
13,7.473974358974359
14,9.464629388816645
15,13.673684210526314
16,20.406794871794872
17,26.86474358974359
18,32.13628205128205
19,35.723461538461535
20,37.35564102564103
21,37.46487179487179
22,35.727435897435896
23,32.47474358974359
