ds,y,year,month,day,hour,dayofweek,dayofyear
2017-05-01 00:00:00,27.8,2017,5,1,0,0,121
2017-05-01 00:05:00,27.0,2017,5,1,0,0,121
2017-05-01 00:10:00,26.8,2017,5,1,0,0,121
2017-05-01 00:15:00,26.5,2017,5,1,0,0,121
2017-05-01 00:20:00,25.6,2017,5,1,0,0,121
2017-05-01 00:25:00,25.0,2017,5,1,0,0,121
2017-05-01 00:30:00,24.9,2017,5,1,0,0,121
2017-05-01 00:35:00,24.1,2017,5,1,0,0,121
2017-05-01 00:40:00,23.7,2017,5,1,0,0,121
2017-05-01 00:45:00,23.2,2017,5,1,0,0,121
2017-05-01 00:50:00,22.6,2017,5,1,0,0,121
2017-05-01 00:55:00,21.5,2017,5,1,0,0,121
2017-05-01 01:00:00,20.8,2017,5,1,1,0,121
2017-05-01 01:05:00,20.1,2017,5,1,1,0,121
2017-05-01 01:10:00,19.1,2017,5,1,1,0,121
2017-05-01 01:15:00,17.9,2017,5,1,1,0,121
2017-05-01 01:20:00,17.5,2017,5,1,1,0,121
2017-05-01 01:25:00,16.6,2017,5,1,1,0,121
2017-05-01 01:30:00,16.2,2017,5,1,1,0,121
2017-05-01 01:35:00,15.5,2017,5,1,1,0,121
2017-05-01 01:40:00,14.9,2017,5,1,1,0,121
2017-05-01 01:45:00,14.5,2017,5,1,1,0,121
2017-05-01 01:50:00,14.2,2017,5,1,1,0,121
2017-05-01 01:55:00,13.6,2017,5,1,1,0,121
2017-05-01 02:00:00,13.4,2017,5,1,2,0,121
2017-05-01 02:05:00,13.0,2017,5,1,2,0,121
2017-05-01 02:10:00,12.6,2017,5,1,2,0,121
2017-05-01 02:15:00,12.3,2017,5,1,2,0,121
2017-05-01 02:20:00,12.0,2017,5,1,2,0,121
2017-05-01 02:25:00,11.8,2017,5,1,2,0,121
2017-05-01 02:30:00,11.5,2017,5,1,2,0,121
2017-05-01 02:35:00,11.2,2017,5,1,2,0,121
2017-05-01 02:40:00,11.1,2017,5,1,2,0,121
2017-05-01 02:45:00,10.9,2017,5,1,2,0,121
2017-05-01 02:50:00,10.6,2017,5,1,2,0,121
2017-05-01 02:55:00,10.4,2017,5,1,2,0,121
2017-05-01 03:00:00,10.2,2017,5,1,3,0,121
2017-05-01 03:05:00,10.0,2017,5,1,3,0,121
2017-05-01 03:10:00,9.9,2017,5,1,3,0,121
2017-05-01 03:15:00,9.8,2017,5,1,3,0,121
2017-05-01 03:20:00,9.6,2017,5,1,3,0,121
2017-05-01 03:25:00,9.4,2017,5,1,3,0,121
2017-05-01 03:30:00,9.3,2017,5,1,3,0,121
2017-05-01 03:35:00,9.1,2017,5,1,3,0,121
2017-05-01 03:40:00,9.0,2017,5,1,3,0,121
2017-05-01 03:45:00,9.0,2017,5,1,3,0,121
2017-05-01 03:50:00,8.9,2017,5,1,3,0,121
2017-05-01 03:55:00,8.8,2017,5,1,3,0,121
2017-05-01 04:00:00,8.6,2017,5,1,4,0,121
2017-05-01 04:05:00,8.5,2017,5,1,4,0,121
2017-05-01 04:10:00,8.5,2017,5,1,4,0,121
2017-05-01 04:15:00,8.4,2017,5,1,4,0,121
2017-05-01 04:20:00,8.3,2017,5,1,4,0,121
2017-05-01 04:25:00,8.2,2017,5,1,4,0,121
2017-05-01 04:30:00,8.2,2017,5,1,4,0,121
2017-05-01 04:35:00,8.1,2017,5,1,4,0,121
2017-05-01 04:40:00,8.0,2017,5,1,4,0,121
2017-05-01 04:45:00,7.9,2017,5,1,4,0,121
2017-05-01 04:50:00,7.8,2017,5,1,4,0,121
2017-05-01 04:55:00,7.7,2017,5,1,4,0,121
2017-05-01 05:00:00,7.7,2017,5,1,5,0,121
2017-05-01 05:05:00,7.6,2017,5,1,5,0,121
2017-05-01 05:10:00,7.5,2017,5,1,5,0,121
2017-05-01 05:15:00,7.4,2017,5,1,5,0,121
2017-05-01 05:20:00,7.4,2017,5,1,5,0,121
2017-05-01 05:25:00,7.4,2017,5,1,5,0,121
2017-05-01 05:30:00,7.3,2017,5,1,5,0,121
2017-05-01 05:35:00,7.3,2017,5,1,5,0,121
2017-05-01 05:40:00,7.0,2017,5,1,5,0,121
2017-05-01 05:45:00,7.0,2017,5,1,5,0,121
2017-05-01 05:50:00,7.0,2017,5,1,5,0,121
2017-05-01 05:55:00,6.9,2017,5,1,5,0,121
2017-05-01 06:00:00,7.0,2017,5,1,6,0,121
